time [second], temperature [kelvin], volume [meter ** 3], R_i [1 / meter], R_r [1 / meter], R_t [1 / meter], v_sg [meter / second], alpha_c [meter / kilogram], m_rback [kilogram / meter ** 2 / second], tau_w [kilogram / meter / second ** 2], in_S_I [kilogram / meter ** 3], in_S_S [kilogram / meter ** 3], in_X_I [kilogram / meter ** 3], in_X_S [kilogram / meter ** 3], in_X_H [kilogram / meter ** 3], in_X_EPS [kilogram / meter ** 3], in_S_UAP [kilogram / meter ** 3], in_S_BAP [kilogram / meter ** 3], in_X_A [kilogram / meter ** 3], in_X_P [kilogram / meter ** 3], in_S_O [kilogram / meter ** 3], in_S_NO [kilogram / meter ** 3], in_S_N2 [kilogram / meter ** 3], in_S_NH [kilogram / meter ** 3], in_S_ND [kilogram / meter ** 3], in_X_ND [kilogram / meter ** 3], in_S_ALK [kilogram / meter ** 3], in_X_MLSS [kilogram / meter ** 3], S_I [kilogram / meter ** 3], S_S [kilogram / meter ** 3], X_I [kilogram / meter ** 3], X_S [kilogram / meter ** 3], X_H [kilogram / meter ** 3], X_EPS [kilogram / meter ** 3], S_UAP [kilogram / meter ** 3], S_BAP [kilogram / meter ** 3], X_A [kilogram / meter ** 3], X_P [kilogram / meter ** 3], S_O [kilogram / meter ** 3], S_NO [kilogram / meter ** 3], S_N2 [kilogram / meter ** 3], S_NH [kilogram / meter ** 3], S_ND [kilogram / meter ** 3], X_ND [kilogram / meter ** 3], S_ALK [kilogram / meter ** 3], X_MLSS [kilogram / meter ** 3], Q_in [meter ** 3 / second], Q_min [meter ** 3 / second], Q_max [meter ** 3 / second], Q_out [meter ** 3 / second], X_TSS [kilogram / meter ** 3], 
900, 293.15, 1500.0, 296781213.8939829, 0.0, 3000296781213.894, 0.01, 1.12, 7.127377667350254e-05, 0.12380454386410639, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06950099875, 0.0512, 0.20247096263749997, 0.026587174999999998, 0.00141182375, 1.498125e-06, 0.021003715737499998, 0.0, 1.3825999999999996e-05, 0.0038429854166666657, 0.0, 0.0, 0.031714985, 0.0067950849125, 0.009379539939999999, 0.4271286703571429, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21126284054062502, 
1800, 293.15, 1500.0, 595994870.8810756, -0.030231033890257542, 3000595994870.8506, 0.01, 1.12, 7.127377667350254e-05, 0.12380581615191508, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06828870994763471, 0.0512, 0.20181496255767103, 0.02754843562803503, 0.0015368083747054452, 0.00018758487274256374, 0.020989789439904344, 0.0, 2.5791603204305553e-05, 0.006595768693473729, 0.0, 0.0, 0.031742711968798215, 0.006700889523668166, 0.009351354385616132, 0.4271304240867843, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2115944986227119, 
2700, 293.15, 1500.0, 897452524.8919525, -0.060462067780515084, 3000897452524.8315, 0.01, 1.12, 7.127377667350254e-05, 0.12380698542980328, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06716967296832278, 0.0512, 0.20120292321498384, 0.02844036539858543, 0.0016523846622577727, 0.00035940115977212774, 0.02097679600009259, 0.0, 3.6721069779237e-05, 0.008963428445834804, 0.0, 0.0, 0.031764608798210935, 0.006617602631948885, 0.009325005400035736, 0.4271317778830753, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21189929575920474, 
3600, 293.15, 1500.0, 1200953351.28336, -0.09069310167077263, 3001200953351.1924, 0.01, 1.12, 7.127377667350254e-05, 0.12380804501804163, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06615057969804, 0.0512, 0.20064076998552133, 0.02925530075133116, 0.001757875219153005, 0.0005159395613034954, 0.02096486672744743, 0.0, 4.671130738030591e-05, 0.011004445051159585, 0.0, 0.0, 0.031782723539085095, 0.0065435469217702625, 0.009300786561437409, 0.42713287938101846, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21217549294753935, 
4500, 293.15, 1500.0, 1506306505.3362277, -0.12092413556103017, 3001506306505.2153, 0.01, 1.12, 7.127377667350254e-05, 0.12380900056883085, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06522663189106406, 0.0512, 0.20012691952472744, 0.029996232989550967, 0.0018537586846955085, 0.0006579393873694588, 0.020953968658672256, 0.0, 5.584285033329535e-05, 0.012764633688690793, 0.0, 0.0, 0.031797905716751305, 0.006477614338140828, 0.009278640609691264, 0.4271337884802796, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21242456553698044, 
5400, 293.15, 1500.0, 1813335319.1619227, -0.1511551694512877, 3001813335319.0107, 0.01, 1.12, 7.127377667350254e-05, 0.12380986006639011, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06439084709819085, 0.0512, 0.19965828118151357, 0.030668262162838765, 0.0019407310478461435, 0.0007864700819672754, 0.020944035739948488, 0.0, 6.418746206269824e-05, 0.014282591312407302, 0.0, 0.0, 0.03181068468802699, 0.006418897193367662, 0.009258438770113855, 0.4271345418038232, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21264859639069592, 
6300, 293.15, 1500.0, 2121877903.030475, -0.18138620334154526, 3002121877902.849, 0.01, 1.12, 7.127377667350254e-05, 0.12381063183425575, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06363590300816926, 0.0512, 0.1992314437443003, 0.031276900436333646, 0.0020195207734876293, 0.0009026507687397749, 0.02093499479787768, 0.0, 7.181034815883845e-05, 0.015591380633530726, 0.0, 0.0, 0.03182145146870721, 0.006366607245859909, 0.009240036113400246, 0.4271351660244036, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2128497564767103, 
7200, 293.15, 1500.0, 2431786675.184679, -0.2116172372318028, 3002431786674.973, 0.01, 1.12, 7.127377667350254e-05, 0.12381132393406577, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06295468908832778, 0.0512, 0.1988430297833611, 0.03182756242716432, 0.002090834183507566, 0.00100756664462617, 0.020926773307528828, 0.0, 7.877120935960509e-05, 0.0167194829335233, 0.0, 0.0, 0.03183051818295651, 0.006320046407536386, 0.009223288156087524, 0.4271356822114228, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21303014820254446, 
8100, 293.15, 1500.0, 2742927518.4118867, -0.24184827112206037, 3002742927518.1704, 0.01, 1.12, 7.127377667350254e-05, 0.12381194395147369, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.062340500702676424, 0.0512, 0.1984898212243298, 0.032325383434320246, 0.002155336661658163, 0.0011022398026820203, 0.02091930215273548, 0.0, 8.512489631956801e-05, 0.017691489462956934, 0.0, 0.0, 0.031838143376960684, 0.0062785920354604795, 0.009208056796569025, 0.4271361076740132, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21319174966247084, 
9000, 293.15, 1500.0, 3055178811.6264725, -0.2720793050123179, 3003055178811.3545, 0.01, 1.12, 7.127377667350254e-05, 0.12381249892119323, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.06178710607716082, 0.0512, 0.1981688046129574, 0.032775153894491184, 0.0022136464663736416, 0.0011876193858941701, 0.020912516625941006, 0.0, 9.092188658892141e-05, 0.018528654997516165, 0.0, 0.0, 0.03184454511309902, 0.006241687498470884, 0.009194212501899916, 0.4271364569082594, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21333639514530836, 
